Noise Rate,CE,FL,NCE,NFL,MAE,RCE,APL-NCE+MAE,APL-NCE+RCE,APL-NFL+MAE,APL-NFL+RCE
0.1,82.02,81.56,69.38,71.78,75.96,83.52,81.78,83.45,81.43,83.66
0.2,80.59,80.47,66.64,70.09,58.33,73.54,79.94,80.88,79.78,80.77
0.3,79.41,77.98,62.14,66.27,57.21,59.1,77.54,78.66,77.8,78.14
0.4,75.95,74.64,57.0,63.57,53.74,54.43,72.91,72.36,71.98,72.53
